"Image name";"Our rank";"Our rounded";"Turk rank";"Turk rounded";"Diff";"%diff";"Us <= 5";"Turk <= 5";"Us prof=turk prof?";;;"Avgdiff:";"% Correct rated prof."
"new-DSC_0001.JPG";8.91051;8.9;6.5385;6.5;2.4;26.7;0;0;1;;;1.91;87
"new-DSC_0002.JPG";8.82469;8.8;"6.5385";6.5;2.3;25.6;0;0;1;;;"%diffs>2";"Num turk users voted prof"
"new-DSC_0003.JPG";8.85776;8.9;"7.0000";7;1.9;21.1;0;0;1;;;21.35;35
"new-DSC_0004.JPG";9;9;"6.1111";6.1;2.9;32.2;0;0;1;;;;"Num we voted prof"
"new-DSC_0005.JPG";8.83838;8.8;"6.7778";6.8;2;22.2;0;0;1;;;;28
"new-DSC_0006.JPG";8.89862;8.9;"3.4444";3.4;5.5;61.1;0;1;0;;;;
"new-DSC_0007.JPG";8.89862;8.9;"6.6364";6.6;2.3;25.6;0;0;1;;;;
"new-DSC_0008.JPG";9;9;"6.6364";6.6;2.4;26.7;0;0;1;;;;
"new-DSC_0009.JPG";9;9;"6.5000";6.5;2.5;27.8;0;0;1;;;;
"new-DSC_0010.JPG";8.78364;8.8;"5.6667";5.7;3.1;34.4;0;0;1;;;;
"new-DSC_0011.JPG";7.58261;7.6;"5.6250";5.6;2;22.2;0;0;1;;;;
"new-DSC_0012.JPG";7.59988;7.6;"6.3333";6.3;1.3;14.4;0;0;1;;;;
"new-DSC_0013.JPG";9;9;"5.3333";5.3;3.7;41.1;0;0;1;;;;
"new-DSC_0014.JPG";5.4426;5.4;"7.2857";7.3;1.9;21.1;0;0;1;;;;
"new-DSC_0015.JPG";5.62327;5.6;"7.8333";7.8;2.2;24.4;0;0;1;;;;
"new-DSC_0016.JPG";4.91941;4.9;"6.5714";6.6;1.7;18.9;1;0;0;;;;
"new-DSC_0017.JPG";5.61777;5.6;"5.3125";5.3;0.3;3.3;0;0;1;;;;
"new-DSC_0018.JPG";6.57822;6.6;"6.5000";6.5;0.1;1.1;0;0;1;;;;
"new-DSC_0019.JPG";8.83838;8.8;"5.3000";5.3;3.5;38.9;0;0;1;;;;
